,reg_shortname,reg_name,location,epw_filename,wmo_code,lat,lon,alt
0,AB,Abruzzo,Fucino,ITA_AB_Fucino.162270_TMYx.2007-2021.epw,162270,41.9783,13.6053,651.0
1,AB,Abruzzo,Gran.Sasso.Mtn.Rng,ITA_AB_Gran.Sasso.Mtn.Rng.162290_TMYx.epw,162290,42.45,13.55,2138.0
2,AB,Abruzzo,Pescara.Abruzzo.AP,ITA_AB_Pescara.Abruzzo.AP.162300_TMYx.2007-2021.epw,162300,42.4372,14.1872,11.0
3,AB,Abruzzo,Preturo,ITA_AB_Preturo.162280_TMYx.epw,162280,42.367,13.3,667.0
4,BC,Basilicata,Latronico,ITA_BC_Latronico.163160_TMYx.2007-2021.epw,163160,40.0875,16.0136,896.0
5,BC,Basilicata,Potenza,ITA_BC_Potenza.163000_TMYx.epw,163000,40.633,15.8,843.0
6,CM,Campania,Cape.Palinuro,ITA_CM_Cape.Palinuro.163100_TMYx.2007-2021.epw,163100,40.025,15.2803,185.0
7,CM,Campania,Capri.Island,ITA_CM_Capri.Island.162940_TMYx.2007-2021.epw,162940,40.5578,14.2019,161.0
8,CM,Campania,Caserta,ITA_CM_Caserta.162880_TMYx.2007-2021.epw,162880,41.0708,14.3236,63.0
9,CM,Campania,Grazzanise.AB,ITA_CM_Grazzanise.AB.162530_TMYx.2007-2021.epw,162530,41.0606,14.0789,10.0
10,CM,Campania,Napoli-Capodichino.AP,ITA_CM_Napoli-Capodichino.AP.162890_TMYx.2007-2021.epw,162890,40.884,14.291,72.0
11,CM,Campania,Salerno-Pontecagnano.AP,ITA_CM_Salerno-Pontecagnano.AP.162920_TMYx.2007-2021.epw,162920,40.617,14.917,39.0
12,CM,Campania,Trevico,ITA_CM_Trevico.162630_TMYx.2007-2021.epw,162630,41.0467,15.2328,1093.0
13,CL,Calabria,Bonifati,ITA_CL_Bonifati.163370_TMYx.2007-2021.epw,163370,39.5847,15.8914,485.0
14,CL,Calabria,Cape.Spartivento,ITA_CL_Cape.Spartivento.164690_TMYx.2007-2021.epw,164690,37.9258,16.0606,119.0
15,CL,Calabria,Catanzaro,ITA_CL_Catanzaro.163650_TMYx.2007-2021.epw,163650,38.9053,16.5953,334.0
16,CL,Calabria,Crotone-S-Anna.AP,ITA_CL_Crotone-S-Anna.AP.163500_TMYx.2007-2021.epw,163500,38.9967,17.0792,161.0
17,CL,Calabria,Lamezia.Terme.Intl.AP,ITA_CL_Lamezia.Terme.Intl.AP.163620_TMYx.2007-2021.epw,163620,38.9083,16.2417,16.0
18,CL,Calabria,Reggio.di.Calabria-Minniti.AP,ITA_CL_Reggio.di.Calabria-Minniti.AP.164220_TMYx.2007-2021.epw,164220,38.0719,15.6536,21.0
19,CL,Calabria,Scuro.Mtn,ITA_CL_Scuro.Mtn.163440_TMYx.2007-2021.epw,163440,39.3306,16.3964,1677.0
20,CL,Calabria,Serralta.di.S.Vito,ITA_CL_Serralta.di.S.Vito.163640_TMYx.2007-2021.epw,163640,38.7556,16.3683,998.0
21,ER,Emilia Romagna,Bologna-Marconi.AP,ITA_ER_Bologna-Marconi.AP.161400_TMYx.2007-2021.epw,161400,44.5308,11.2969,37.0
